,file,text
0,files_original/AUD-20230516-WA0012.opus," I know you and you lost Lost with me that we love Girl, I know you lost"
1,files_original/AUD-20210903-WA0022.opus," Vai se foder homem, toma no meio do teu cu também. Boa gente."
2,files_original/AUD-20190531-WA0062.opus," Ah maninha, eu to meio querendo dar uma acalmada nessa pinga braba ai rapaz Só se chover mesmo, vou tomar uma Olha, como é sua garoa"
3,files_original/AUD-20220528-WA0051.opus," É meu bem, aqui eu tenho pra dizer que tipo não tá, tipo assim, não tá fácil, tá ligado? Aqui tá bem, bem, bem, bem complexo assim, tipo... Ah, perde muita confiança, né? Na real, tipo, porra, eu tava já, sei lá, meu bem, uns... Vai, pra não exagerar, uns seis meses assim, muito frenético, tá ligado? Tipo, não é só, pô, tava frenético Tipo, né, não vou dizer Droga, mas assim Tava frenético de, nossa Garra, de paulada De pra cima Só que ao mesmo tempo, tá ligado? Tipo assim, cara Foi uma parada que eu tive que explicar Pô, que assim Eu já falei contigo isso também Saio do trabalho, já tô Naquele, já tô esquentado, né Vamos dizer assim, já tô esquentado Já tô pra frente Aí, tipo, pô, vou sair do trabalho, não vou fazer nada mesmo a semana inteira Aí, tipo, o único dia que eu tenho é segunda mesmo, é isso mesmo Então, porra, vai tomar no cu Então eu vou virar a noite bem louco Com meus parças, com as pessoas que eu gosto Com a minha mulher E foda-se, tá ligado? Vou pra frente, caguei, né, mano E, tipo, pô, meio que... Tem que entender, né Porque, porra, cara, eu tava tendo uma vida muito, muito, muito frenética, cara. Tava, tipo, eu não tinha tempo pra mim mais. E você tava vendo isso, você viu isso. Cara, não tinha mais tempo pra mim, não tinha mais tempo pra família. Não é porque, nossa, meu Deus, porque tá virado em cocaína. Não, não é. Porque, tipo, porra, realmente, o mano tá dando a vida nos bagulho. E, porra, às vezes você estar drogado, te remete a não querer fazer algumas coisas drogadas. Por exemplo. Pô, muitos dias eu deixei de ir na aula Porque Por isso que eu tava tão fudido daquele atestado Porque, tipo, pô, eu já tinha deixado de ir uns dias na aula Porque eu tinha virado a noite E tava cabuloso E seis horas da manhã eu não queria ir pra Pô, eu não queria ir pra aula Né? Tipo, nossa, tô aqui, tô cabuloso Não vou pra bagulho, não vou aparecer lá com essa cara Tá ligado? Querendo ou não, pô, beleza Nossa, ai, ele vai Enquanto você usa, não parece que tá drogado Cara, mas eu sei que eu tô drogado, tá bom? Aí já muda muita coisa, entendeu Uma coisa é eu não parecer que eu estou drogado Parte das pessoas que eu conheço Outra coisa é eu não parecer drogado Parte das pessoas que eu não tenho tanta convivência Que eu não tenho tanta intimidade assim, sabe Então Meio que foi apertando, apertando Apertando, apertando, apertando E tipo, realmente A Diana lá, aquela velha filha da puta Me fudeu, tá ligado Não foi de todo ruim Tá ligado, eu acho que eu realmente Nossa, cara, eu tô com livre, assim, na minha cabeça agora, tá ligado? Tipo, nossa, meu Deus, que... Respirei, tá ligado? Meu Deus, tem um tempo pra eu dormir agora. Passei 3, 4 dias dormindo, meu amor. Eu passei 3, 4 dias dormindo. Dormindo. Acorda, evapora, come um bagulho meio que dormindo e volta a dormir. Pra não ser que dá um vapo, meio que dá, fuma um... dorme. Foda, né? Foda"
4,files_original/AUD-20200323-WA0030.opus," Olha, eu já tinha visto uma coisa dessas de tomar grelolina e palso alemão, mas grelolina eu achava assim bastante forte, né, para tomar, e daí eu pensei, não, então vou tomar palso alemão, né, porque também tinha aquele Retzel que a gente tomava, né, eu estava bastante também para o Rodrigo e para o Rogério quando eles eram as crianças ainda, né, e daí eles nunca ficavam doentes o Rodrigo e o Rogério, olha, tinham uma saúde, uma saúde, uma saúde a única coisa que aconteceu foi com o Rodrigo quando o porco aquela vez, né puxou, ratsogatukt, né puxou o Rodrigo e daí ele quebrou as clavículas, né porque o porco era bem grande, era forte, né, e eu disse, cuidado com o porco, que o porco é forte, ratsogatukt, capux então, mas assim essa greolina e essa palça-alemão, isso é muito saudável, eu sempre disse isso lá na Colônia, lá eu dizia pro Teres, quando eu tava com uma torta de barriga, né, caganeira na cidade se diz mais chique de areia, né, mas a gente dizia churio, caganeira, né então eu dizia pra ele vai tomar uma palça-alemão que isso passa tudo, né, isso limpa todas as tripas limpa o bucho lá dentro, não fica nada nas tripas, no bucho, sai tudo bem limpo, né? A merda sai assim cheia de gordura, porque leva tudo junto que tem de sujeira lá dentro nas tripas, no bucho, né? Então eu sempre disse pra ele cuida, toma uma coisa então pra tu ter saúde né? Toma greulina, pálice alemão, rezecel tudo isso é bom pra saúde, né? E também a gente, todo dia a gente come um alho, uma cabeça de alho, cada um come bastante o alho, então fica se peitando, soca, foda-se, vai, um cheiro ruim, assim, mas isso é um sinal que tá botando tudo que tem de podre, tá saindo, então, assim, eu digo pra vocês também, se vocês davam problema de saúde, tá, esse tal, esse vírus, agora que tá surgindo por aí, né, Conavit, Covid, né, como é que é mesmo o nome desse vírus que eu não consigo, Conavit, né, então, toma, chupa um alho uma vez por dia vão se peitar, vão se cagar toda mas eu te garanto que não tem vírus que vai chegar no corpo isso é a coisa mais boa e o Red Set C também funciona bastante pode ir por mim que eu garanto tá? Tudo de bom pra vocês, se cuida bastante, tá? Tchau, tchau"
5,files_original/AUD-20231219-WA0028.opus," Eu não sei se aí onde vocês moram tá quente, mas aqui onde eu moro tá muito quente. O meu carro ali na garagem desligado já ligou três vezes a ventoinha do radiador parado."
6,files_original/AUD-20210814-WA0004.opus," Qual o pita dessa vó que fica pitando aí mano? Achei que era o cinto, mas não é o cinto Escute Ah, agora parou Merda, velho E fica falando que a porta tá aberta aqui toda hora, já bati todas as portas do caralho Que nojo, cara O pau vai arrancar daqui a pouco aqui"
7,files_original/AUD-20220710-WA0019.opus," Cara, a chave da moda do meu carro ficou contigo na tua moto, entendeu?"
8,files_original/AUD-20200317-WA0011.opus," Por exemplo, alguma prenda aí, ó Bonita, mas tem que ser bonita Feio chega eu Bonita e meia nova, quiser me dar um beijo E tiver com o coronavírus Eu dou um beijo de arrancar a língua fora Eu não tenho um pinguinho de medo dessa porcaria, hein"
9,files_original/AUD-20210227-WA0021.opus," Agora tá que você desvendar aí o que nós vai aprontar, porque o governo não quer ver nós no trabalho, a mulher não quer ver nós em casa e a polícia não quer ver nós na rua, que desgrama que nós vai arrumar agora."
10,files_original/AUD-20200211-WA0035.opus, eu ia ter que convidar para jogar bola mas agora que eu tô vendo você foi pescar com teu colega né
11,files_original/AUD-20210112-WA0034.opus," Você não viu na foto ali? Magro, tudo desmagrecido já. É isso aí. Vamos tomar café de manhã. Não vou almoçar também. Vou tomar umas pingas de tarde necessárias. Comprar um copo de pinga E espincher de limão E jogar nas cordas No que necessário E se trouxe Deus do livre Que é verdade"
12,files_original/AUD-20231213-WA0026.opus, o salve salve galerinha colocou na fita porra essa festa aqui só deu o meu óbvio nós estamos chapou cara tive que levar todo mundo embora meu deus cara gastei 50 real de gasolina e tive que jogar uns cara fora do carro e meu deus do céu como é que pode cara caralho o pai faz um pique amanhã
13,files_original/AUD-20210507-WA0023.opus, Aí descer a galera em peso pra lá hoje.
14,files_original/AUD-20200708-WA0007.opus," KKK tu vai ver, seu safadinho."
15,files_original/AUD-20231011-WA0007.mp3," Quinta-feira feriado, na quarta nós vai como? Stand by me"
16,files_original/AUD-20210310-WA0034.opus," É, está tudo assim. Estão repassando tudo. O aumento. Ali na zoninha da Sueli, ali, ali. A puta já repassou 6%. Custa mais o boquete agora. Então eu disse, pelo amor, o que tem a ver o boquete com a gasolina, o aumento? É certo, acho que eu venho como? Eu venho de cavalo, trabalhar. Tenho que vir de carro. Sou obrigado a repassar esses 6%. Aí eu disse, urra. Aí ela disse, se for garganta profunda, 8%. Porra, está virada no capeta, cara. Obrigado."
17,files_original/AUD-20230310-WA0002.mp3, a boca e escuta o som do meu corso aí
18,files_original/AUD-20210120-WA0044.opus," Daí nós negociamos, daí vai dar um dia e meio, certo, né? Você sai em quatro horas, certo, da tarde daí. Daí dá pra fazer um dia e meio."
19,files_original/AUD-20191128-WA0009.opus, Tem um consecador de cabelo ali
20,files_original/AUD-20210526-WA0037.opus," Ramon? Johnny? Ah não, beleza então, deixa pra mim"
21,files_original/AUD-20201111-WA0041.mp3," Nessa eleição não esqueça meu povão, vote no Paulão, ele é o amigo do coração, é 1511 e pra prefeito, vote gringo pra ver Tijucas crescer. Vai galera coração, é 1511 e confirma o Paulão, ele é o amigo do coração, é 1511 e confirma o Paulão. Ele é de uma família de trabalho e de luta É irmão do João Maria e é filho do Jambuta Tem projetos pro povo e luta pela igualdade Vote 1511, vereador dessa cidade Pra prefeito vote gringo, vote 11 na cabeça Eu, eu, eu vou votar, vou votar Paulão, Paulão, pra renovar, pra renovar É Paulão, o amigo do coração 1511, pra vereador de Tijucas do Sul 1511 Vai galera, coração É 1511, confirma o Paulão Ele é o amigo do coração É 1511, confirma o Paulão Ele é de uma família de trabalho e de luta É irmão do João Maria e é filho do Jambuta Tem projetos pro povo e luta pela igualdade Vote 1511, vereador dessa cidade Pra prefeito vote Grinho ou vote 11 na cabeça Eu, eu, vou votar, vou votar Aulão, aulão, pra renovar, pra renovar Eu, eu, vou votar, vou votar Paulão, pra renovar Eu, vou votar Eu, vou votar Paulão, pra renovar Eu, vou votar Votar, paulão, paulão, pra renovar Pra prefeito vote gringo, pra vereador vote paulão"
22,files_original/AUD-20190702-WA0075.opus," Não, beleza. Se eu levar uma multa eu vou procurar a tuta daí. Beleza?"
23,files_original/AUD-20240716-WA0011.opus," Então, eu verifiquei aqui e fui verificar as câmeras. De fato, está chegando esses eventos com frequência, principalmente da Torre A. Quando eu abri as câmeras, identificamos que realmente não tem visibilidade da porta. A gente não consegue ver que a porta ficou em aberto, porque a câmera é focada para o sentido externo, que sai para fora. E quando a pessoa entra, a porta vem para dentro. e não temos câmeras ali. Eu vou ter que ver certinho com o Richard para ver o que a gente pode fazer referente a uma câmera ali, se tem alguma câmera interna que não seja nossa e possa agregar para que possamos ter essa visibilidade."
24,files_original/AUD-20191020-WA0038.opus," Nós jogava as cachaça dentro de umas outras cachaça que misturava com umas outras cachaça e tiro e jabaredo e foguete e pinga e cerveja e vodka e puta e sovaqueira que fedia e nós tudo louco e cigarro e droga e maconhado e caro na sua letra e... Aquele dia lá os boi andavam de ré perto de nós, meu pai amado."
25,files_original/AUD-20210608-WA0012.opus," É, eu invisto mais em fumo, né? E daí tô criando uns franguinhos, porque os franguinhos dizem que é o estado gigante. Aí tinha... Criei meio solto, assim, daí tava solto com as ovelhas, pôs o diabo do franguinho, pisou na cabeça da ovelha, matou. Esmagou, né? Pesado. E daí, no potreirinho, botei também um boizinho de 1.200 kg, terneirinho novo, recém desmamado. E o diabo do galo Um galo fino, sei lá como era aquele brique Deu uma beliscada No meio da testa do boi Entrou o bico do galo Dois parmas na cabeça do boi e matou o meu boi Júdia, bota talo Mas eu vou ter que vender esses bichos Não adianta ficar com esses Só dá prejuízo, bicho muito grande"
